Product Name,Description,Category,Price,Main Photo URL
White and Green Gingham Crop,Other,Clothing,$10.15,https://media-photos.depop.com/b1/280051687/2728995660_5e169b7713dc4be5996f35a42fde088e/P8.jpg
Custom Black Cream Heavily,PGA Tour,Clothing,$29.05,https://media-photos.depop.com/b1/16755577/2823765184_65485b099e374b6fb0c2aab8bd1a4bc7/P8.jpg
Blue and White Subway Button Up,Other,Clothing,$32.20,https://media-photos.depop.com/b1/47294250/2783757753_afb132953fdf4df2883d5d51f92ea384/P8.jpg
Coastal White Tube Top,Other,Clothing,$8.05,https://media-photos.depop.com/b1/23559344/2799601735_79b0721c2c7a4dbf93918150fa9f151e/P8.jpg
Perry Ellis Green Military Inspired Wool,Perry Ellis,Clothing,$53.20,https://media-photos.depop.com/b1/333842967/2714924518_f1a6e172d42846608c01c45dcc4a30bf/P8.jpg
Dark Brown Corduroy/Suede Overalls,Aerie,Clothing,$21.70,https://media-photos.depop.com/b1/32690501/2725946051_37615093b2504f85b814a5423eabe9cd/P8.jpg
Nike Green Mint Crewneck Sweatshirt,Nike,Clothing,$53.20,https://media-photos.depop.com/b1/495374178/2882274858_9beaacf90b7b4a30a1b2f8a857f5e7b7/P8.jpg
Grey and White Sweater,Brandy Melville,Clothing,$9.10,https://media-photos.depop.com/b1/331372473/2728411912_40dd71e37f1a4cf2b7aed1910742e042/P8.jpg
Mini Black Lace Slip Dress,Other,Clothing,$26.95,https://media-photos.depop.com/b1/49247383/repop_20833085_2831797828/2891202194_ae0e23daf51c494d990e6b4af91bab68/P8.jpg
Iron Horse Embroidered Biker Button,Other,Clothing,$16.45,https://media-photos.depop.com/b1/38968411/2764908811_ef3fa830ec374cd28eb5bd58c073af66/P8.jpg
Glitter Strapless Mini Dress,Other,Clothing,$28.00,https://media-photos.depop.com/b1/362095596/2819312465_ba53824d7c6846669653f4bc2e9fb8c2/P8.jpg
Burgundy Vintage '90s Sweater Vest,Jantzen,Clothing,$12.25,https://media-photos.depop.com/r1/41936926/2769264575_a566ec5beed74ecca99b5c7e3fe86b7d/P8.jpg
Black and White Key West T-Shirt,Other,Clothing,$11.20,https://media-photos.depop.com/r1/44156160/2823477640_8e28178d95554cc8a8c3dc8d64894fb0/P8.jpg
Hard Rock Cafe Barcelona T-Shirt,Hard Rock Cafe,Clothing,$13.30,https://media-photos.depop.com/b1/47252767/2799808407_ce6bf35af2a84c71be9ebdafa8565480/P8.jpg
Grey Distressed Denim Shirt,Topman,Clothing,$8.58,https://media-photos.depop.com/b1/25387119/2912333680_b916a37e79c4488b9b65842ea4349123/P8.jpg
Size XXS Never Worn Dress,Altar'd State,Clothing,$17.50,https://media-photos.depop.com/b1/34360379/2828036513_23b88cc6ac8c4453ba3f968bf019fd39/P8.jpg
Dexter T444-5 Signature Vanderbilt Brown,Other,Clothing,$31.15,https://media-photos.depop.com/b1/50845589/2884210722_0f3476caa2bb43d28956fbe3851e4812/P8.jpg
H&M Saint Lucia Crop Top,H&M,Clothing,$7.00,https://media-photos.depop.com/b1/313907966/2887157585_51b7f7d92206416b817f4218f714933d/P8.jpg
Black Brandy Melville Los Angeles,Brandy Melville,Clothing,$11.20,https://media-photos.depop.com/b1/386282258/2825771081_49a614eeffca4418b53658369f3afff7/P8.jpg
Tan Carhartt Overalls Workwear Streetwear,Carhartt,Clothing,$22.75,https://media-photos.depop.com/b1/36278706/2844833585_ae3655865615425395f2a8c7a77e1dc6/P8.jpg
Grey American Eagle Cropped Sweater,American Eagle Outfitters,Clothing,$22.75,https://media-photos.depop.com/b1/34345879/2815453877_5c66937094204602bc8332a6632a59dc/P8.jpg
White Lace Tank Top,Forever 21,Clothing,$3.85,https://media-photos.depop.com/b1/48237671/2813938838_e1cc136eeac544b9a09640848bff36c8/P8.jpg
Pink and Black PacSun Leopard Top,PacSun,Clothing,$11.20,https://media-photos.depop.com/b1/18624129/2881477933_2316452a2ffa4f12abcf1a69c932759a/P8.jpg
Pull&Bear Blue and White Striped Top,Pull&Bear,Clothing,$11.20,https://media-photos.depop.com/b1/373440259/2886694632_602c239707074d388b0a627c47a92d70/P8.jpg
Aritzia Demin Forum Jeans,Aritzia,Clothing,$26.95,https://media-photos.depop.com/b1/29405584/2886679646_a5523abc80984e93929773ba8f609d6f/P8.jpg
Form Fitting White Tank Top,Other,Clothing,$9.10,https://media-photos.depop.com/b1/50594067/2880977990_a7ca3e67d283458e8f3775fbca60e9a9/P8.jpg
Brandy Melville Blue and White Top,Brandy Melville,Clothing,$14.66,https://media-photos.depop.com/b1/31034079/2829778275_db9dececd33448efb97503b571a66ded/P8.jpg
Pink Y2K Zip Up Hoodie,Other,Clothing,$28.00,https://media-photos.depop.com/b1/442163369/2809940338_afc9dd8bed5d42dda16c0ab0dd748031/P8.jpg
Green Distressed Crop Top,Fashion Nova,Clothing,$5.95,https://media-photos.depop.com/b1/23147112/2887068775_c78e68496a1b49d3aa8c28107863b366/P8.jpg
Grey Aeropostale V-Neck Long Sleeve,Aeropostale,Clothing,$9.10,https://media-photos.depop.com/b1/385959385/2826767459_c957b4558aea46eea6f8cb0b69621a92/P8.jpg
White Baby Doll Dress,Altar'd State,Clothing,$26.95,https://media-photos.depop.com/b1/13075400/2782845791_c48881e5959c4a059d28cdc49f409069/P8.jpg
Black Zara Maxi Dress,Zara,Clothing,$33.25,https://media-photos.depop.com/b1/48840047/2887883888_01a50e1577b54971ae3422a4d2a7d5bd/P8.jpg
Leopard Print SHEIN Bralette,SHEIN,Clothing,$1.75,https://media-photos.depop.com/b1/44507723/2887907378_2c5c05075afb4faca866552446053f5c/P8.jpg
